Trades pris : 110
Rugged : 4
Trades réussis : 80
Trades non réussis : 26
Trades en cours : -285
Solde portefeuille : 2.8902 SOL
Revenu total : 1.8109 SOL
Temps écoulé : 263 min 43 sec
Gain moyen/min : 0.0069 SOL | Gain moyen/heure : 0.4120 SOL

--- Détail des trades réussis ---
[01:07:37] https://dexscreener.com/solana/8Y1f7dFfZ7XrAFSf5of3i46p365ARDwNK7HRPpAZrCz4 | +0.0003 SOL | Buy: 0.00028675 | Sell: 0.00029142
[01:08:02] https://dexscreener.com/solana/9GNYdCXpbKSVoJNarQmpT8Rq2YJWkbVAsfEnUzjbRaag | +0.0348 SOL | Buy: 0.00000051 | Sell: 0.00000058
[01:08:13] https://dexscreener.com/solana/8zwS4XvSRGyFLZmLKduiiE6i4wDMcWjp3eEK6XTwcSMd | +0.0982 SOL | Buy: 0.00313276 | Sell: 0.00421861
[01:09:37] https://dexscreener.com/solana/BNn3WYBz1z9VVdpENR94nCoP9ZrSXqAUsZjcBtQepump | +0.0295 SOL | Buy: 0.00000041 | Sell: 0.00000046
[01:10:28] https://dexscreener.com/solana/J6QPTU8csRgk62kmJdarYVAXdhA7SeeEtiGC5J1jpump | +0.0260 SOL | Buy: 0.00000030 | Sell: 0.00000033
[01:11:49] https://dexscreener.com/solana/FezYjTJNUmezjKDE34Nche57zYG3vEPGk2kb94qfXrpm | +0.0104 SOL | Buy: 0.00000024 | Sell: 0.00000026
[01:13:30] https://dexscreener.com/solana/GZJrtkbfmZx2Sm5sfkmKp6oLdbhQXuhb1nxAcPPupump | +0.0134 SOL | Buy: 0.00000041 | Sell: 0.00000044
[01:14:28] https://dexscreener.com/solana/33Zy9N5gxLDegH3bpwjxFCMQaddZr1v7QFBvX4HnPWUi | +0.0092 SOL | Buy: 0.00000025 | Sell: 0.00000026
[01:14:40] https://dexscreener.com/solana/3o7NZFrzbixMxL9JbkrUD39E1zq2r5cCYrKp35sZVNRb | +0.0010 SOL | Buy: 0.00087935 | Sell: 0.00089573
[01:15:49] https://dexscreener.com/solana/69Fe7fAudAaJfJTA9RpYLCUdiYb92jW6fJScJTeCn7Kt | +0.1297 SOL | Buy: 0.00000034 | Sell: 0.00000050
[01:15:57] https://dexscreener.com/solana/EV8RjaLLeZq6p1ZJVzahF3f5qYvrTutR27PQcxDdu13E | +0.0060 SOL | Buy: 0.00000025 | Sell: 0.00000026
[01:16:25] https://dexscreener.com/solana/qXCtd5uZYAK7deDPhH3i3YyapSVxBK3yjNDrq5TYP45 | +0.0096 SOL | Buy: 0.00000025 | Sell: 0.00000026
[01:17:33] https://dexscreener.com/solana/FHSmW3DWDCEbgVgbFdvuupKF9KK3M4WSUa9xkFM6bASh | +0.0263 SOL | Buy: 0.00000024 | Sell: 0.00000027
[01:18:31] https://dexscreener.com/solana/ASp2UNVLbfrTVg9SwehvnPvzgM8jz1ZT9zGVmHvt7qBx | +0.0012 SOL | Buy: 0.00087934 | Sell: 0.00089610
[01:19:07] https://dexscreener.com/solana/DGfDNdqMaW9Ax7CHNUkmFsr9X9n5cvU4xNZKV2MfzbUG | +0.0194 SOL | Buy: 0.00015604 | Sell: 0.00016863
[01:21:22] https://dexscreener.com/solana/CSfSacaK2qEPe2bSism1V98jXcwfjm2xSjsc9jqTpump | +0.0286 SOL | Buy: 0.00000041 | Sell: 0.00000046
[01:21:54] https://dexscreener.com/solana/FZbmDzfiAn3k41R3XKUrvKG1TrukDVnajXRumwUQiyAU | +0.5316 SOL | Buy: 0.00026713 | Sell: 0.00075050
[01:23:24] https://dexscreener.com/solana/4TXgGpqddX8qKsbpYxa5AfqksgS64ACZdoaZcE4ELh8y | +0.0218 SOL | Buy: 0.00202545 | Sell: 0.00220514
[01:23:30] https://dexscreener.com/solana/4i2wBgro7sz87oqt8L1nsm6xdAXxnsELG2fKDNExJpgD | +0.0194 SOL | Buy: 0.00000024 | Sell: 0.00000026
[01:24:10] https://dexscreener.com/solana/EBwQ3k8TLg7Xhzs7Ab87w1uzAkWuXj1TSFD1Fbxx6raA | +0.0199 SOL | Buy: 0.00015603 | Sell: 0.00016889
[01:27:00] https://dexscreener.com/solana/prGwKSdjQxT7tCqUqSirzPz58MQVqigdeT2XxpgihYm | +0.0044 SOL | Buy: 0.00000009 | Sell: 0.00000009
[01:27:18] https://dexscreener.com/solana/DUZTjhLS6Rk3qn8DDikLLFtbSbwCcLSZa8d4VLnmbonk | +0.0291 SOL | Buy: 0.00000042 | Sell: 0.00000046
[01:29:10] https://dexscreener.com/solana/EuguSDCQY9CbrAQiZMDfKLA7LzHaXnHLzx24RrrJoQx7 | +0.0217 SOL | Buy: 0.00000009 | Sell: 0.00000009
[01:30:43] https://dexscreener.com/solana/Ey5H5H95GyXH7w4zLriAmyFrqXFndx9a3P9EuT8qpump | +0.0033 SOL | Buy: 0.00000041 | Sell: 0.00000042
[01:32:06] https://dexscreener.com/solana/BjwGbCtYhtmGxz6hAxmgTeWjLv3RgWA9QgHoHd1JnduT | +0.0081 SOL | Buy: 0.00000025 | Sell: 0.00000026
[01:34:29] https://dexscreener.com/solana/93jz1mC34zm2E11RHnNscCem8GXRqEWeSJFWnboLGyXK | +0.0492 SOL | Buy: 0.00000076 | Sell: 0.00000090
[01:35:00] https://dexscreener.com/solana/WiC4heTq8AG8zDYBtCT3KCTUk4nCdDenpwE4siSpump | +0.0163 SOL | Buy: 0.00000048 | Sell: 0.00000051
[01:35:05] https://dexscreener.com/solana/5dpDo6wmU6wepeAqmFGRFWidwqpA8LYAQRUVcTYmNso4 | +0.0051 SOL | Buy: 0.00000026 | Sell: 0.00000026
[01:35:36] https://dexscreener.com/solana/DqGbUVbGKaC7mDzBLDWgWs4SPnHpt2Hu4h1V9vUsmoon | +0.0236 SOL | Buy: 0.00000047 | Sell: 0.00000051
